"variable","term","estimate","odds_ratio","std.error","statistic","p.value","label"
"hepawkn","hepawkn",1.4649326974557,4.32725199543099,0.0869550282322303,16.8470153737781,1.10344782518328e-63,"Knee Pain"
"hekne","hekne",0.282523493755915,1.32647293856212,0.0169275098655984,16.6901981448603,1.54457308434122e-62,"Knee Pain Rating"
"hepawba","hepawba",1.29212205257075,3.64050370500472,0.0834981223967348,15.4748635715584,5.12818730955991e-54,"Back Pain"
"hebck","hebck",0.235991643626154,1.2661637295852,0.0155949519099239,15.132566293839,9.87674295922004e-52,"Back Pain Rating"
"hepawhi","hepawhi",1.47657624623075,4.37793103447867,0.10291058386963,14.3481475928785,1.09420992806674e-46,"Hip Pain"
"hehip","hehip",0.276050477212222,1.31791438699254,0.0203786788987738,13.5460438129202,8.36167798808859e-42,"Hip Pain Rating"
"hepawfe","hepawfe",1.34821149865086,3.85053268569979,0.112553493795735,11.9784064730823,4.61101626946507e-33,"Foot Pain"
"hefet","hefet",0.217867891732056,1.24342279033695,0.019535785628107,11.1522462356774,6.9821197146037e-29,"Foot Pain Rating"
